number	x	y	need     
0	45	57	0
1	13	25	67      
2	72	42	38
3	3	9	99
4	12	58	110
5	83	59	30
6	85	41	76
7	11	2	112
8	71	74	79
9	73	57	98
10	92	75	53
11	91	61	62
12	70	60	80
13	4	1	65
14	66	56	90
15	50	23	43
16	90	73	76
17	30	38	51
18	69	76	50
19	31	8	99
20	75	55	39
21	6	26	95
22	68	72	41
23	76	22	73
24	67	54	86
25	29	37	113
26	49	71	90
27	89	44	66
28	77	78	92
29	5	90	31
30	88	43	45
31	14	21	78
32	48	34	89
33	57	53	95
34	64	69	66
35	28	77	111
36	45	68	34
37	32	45	54
38	46	70	58
39	34	20	96
40	63	36	122
41	16	52	101
42	78	79	99
43	26	32	50
44	87	84	88
45	50	27	72
46	56	80	33
47	10	46	38
48	51	67	76
49	17	85	58
50	55	14	81
51	25	86	93
52	43	81	42
53	26	91	59
54	18	6	88
55	79	82	23
56	9	3	97
57	61	47	56
58	52	13	83
59	42	51	70
60	22	18	32
61	24	50	66
62	86	87	83
63	36	28	77
64	60	62	89
65	53	12	90
66	81	31	76
67	54	16	45
68	82	88	76
69	23	48	87
70	37	92	49
71	93	11	32
72	8	89	31
73	41	29	48
74	59	4	95
75	58	49	59
76	21	63	112
77	39	10	42
78	7	66	69
79	40	5	72
80	19	15	55
